"card_id"	"type"	"name"	"Rarity"	"speed"	"damage"	"skill"	"batimin"	"batimax"	"color"	"exp"	"energy"	"cost_0"	"cost_1"	"cost_2"	"cost_3"	"cost_4"	"cost_5"
1082	1	"西凉轻骑兵"	0	4	2	82	0	0	4	0	0	3	0	0	0	1	0
1083	1	"西凉助阵队"	0	5	2	83	0	0	4	0	0	2	0	0	0	1	0
1084	1	"西凉弓箭校尉"	0	6	1	84	0	0	4	0	0	4	0	0	0	1	0
1085	1	"孙策"	3	1	6	85	0	0	5	0	5	0	0	0	0	0	1
1086	1	"黄盖"	1	1	4	86	0	0	5	0	5	0	0	0	0	0	0
1087	1	"吴国水贼"	1	2	5	87	0	0	5	0	5	0	0	0	0	0	0
1088	1	"吴国轻骑兵"	0	2	5	88	0	0	5	0	5	0	0	0	0	0	2
1089	1	"吴国近卫队"	0	3	4	89	0	0	5	0	0	0	0	0	0	0	0
1090	1	"甘宁"	2	3	3	90	0	0	5	0	5	0	0	0	0	0	1
1091	1	"张昭"	1	4	3	91	0	0	5	0	0	0	0	0	0	0	0
1092	1	"吴国水军新兵"	0	4	2	92	0	0	5	0	0	0	0	0	0	0	0
1093	1	"吴国补给兵"	0	5	3	93	0	0	5	0	0	0	0	0	0	0	0
1094	1	"周泰"	2	5	3	94	0	0	5	0	0	4	0	0	0	0	2
1095	1	"太史慈"	2	6	2	95	0	0	5	0	5	2	0	0	0	0	1
1096	1	"吴国掌旗兵"	0	6	2	96	0	0	5	0	0	0	0	0	0	0	0
1097	1	"孙坚"	2	7	2	97	0	0	5	0	0	0	0	0	0	0	3
1098	1	"吴国治粟使"	1	7	1	98	0	0	5	0	0	3	0	0	0	0	1
1099	1	"韩当"	1	8	1	99	0	0	5	0	0	3	0	0	0	0	2
1100	1	"吴国太"	1	8	1	100	0	0	5	0	0	3	0	0	0	0	1
1101	1	"周瑜"	3	9	1	101	0	0	5	0	0	0	0	0	0	0	4
1102	1	"吴国兵勇"	0	9	1	102	0	0	5	0	0	0	0	0	0	0	0
1103	1	"吴国宗正"	0	4	2	103	0	0	5	0	0	0	0	0	0	0	2
1104	1	"吴国亲兵"	0	5	2	104	0	0	5	0	0	3	0	0	0	0	1
1105	1	"羽林军"	0	6	1	105	0	0	5	0	0	0	0	0	0	0	0
1106	2	"九节杖"	2	0	0	106	0	0	0	0	-1	0	2	0	0	0	0
1107	2	"雌雄双股剑"	2	0	0	107	0	0	0	0	-1	0	0	2	0	0	0
1108	2	"倚天剑"	2	0	0	108	0	0	0	0	-1	0	0	0	2	0	0
1109	2	"方天画戟"	2	0	0	109	0	0	0	0	-1	0	0	0	0	2	0
1110	2	"吴王剑"	2	0	0	110	0	0	0	0	-1	0	0	0	0	0	1
1111	2	"《太平要术》"	1	0	0	111	0	0	0	0	-1	5	2	0	0	0	0
1112	2	"汉室族谱"	1	0	0	112	0	0	0	0	-1	0	0	1	0	0	0
1113	2	"讨贼檄文"	1	0	0	113	0	0	0	0	-1	4	0	0	2	0	0
1114	2	"传国玉玺"	1	0	0	114	0	0	0	0	-1	4	0	0	0	2	0
1115	2	"江东图志"	1	0	0	115	0	0	0	0	-1	3	0	0	0	0	2
1116	2	"白虎印"	0	0	0	116	0	0	0	0	-1	0	0	0	0	0	0
1117	2	"青龙印"	0	0	0	117	0	0	0	0	-1	0	0	0	0	0	0
1118	2	"玄武印"	0	0	0	118	0	0	0	0	-1	0	0	0	0	0	0
1119	2	"朱雀印"	0	0	0	119	0	0	0	0	-1	0	0	0	0	0	0
1120	2	"麒麟印"	0	0	0	120	0	0	0	0	-1	0	0	0	0	0	0
1121	1	"训练兵甲"	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0
1122	1	"训练兵乙"	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0
1123	1	"训练兵丙"	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0
1124	1	"训练兵丁"	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0
1125	1	"训练兵戊"	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0
1126	1	"训练兵己"	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0
1127	1	"训练兵庚"	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0
1128	1	"训练兵辛"	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0
1129	1	"训练兵壬"	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0
