"id"	"name"	"time"	"Effect"	"action"	"Effecttype"	"value"	"condition"	"ifask"	"des"
35	"莽撞勇夫·张飞"	0	0	8	0	0	7	0	"2蓝蓝：连击限定：展示你的牌库顶牌，若以此法展示了一张攻击牌，则你可以立刻将其做为你的最后一张连击牌打出。"
36	"秉忠将军·孙乾"	0	0	9	0	0	0	0	"2蓝：抓三张牌，并将三张手牌以任意顺序放回你的牌库顶。"
37	"白衣勇将·赵云"	0	0	10	0	0	0	0	"1蓝：展示你的牌库顶牌，若以此法展示了一张攻击牌，则对你的对手造成等同于以此法所展示牌双倍印制攻击力的技能伤害。"
38	"忠义勇者·关羽"	0	1	0	5	0	7	0	"蓝蓝蓝蓝：连击限定：本回合你之前每抓过一张牌，此牌便获得攻击力+1。"
39	"蜀国重甲兵"	0	0	11	0	0	0	0	"1蓝蓝：展示你的牌库顶牌。若以此法展示了一张攻击牌，则此牌获得攻击力+X，X等同于被展示攻击牌的印制攻击力。"
40	"水镜先生"	0	7	0	0	1	11	0	"连击限定：若你的手牌数大于或等于五张，则你获得资源值+1。"
41	"蜀国参军"	0	0	12	0	0	0	0	"3蓝：检视你的牌库并选择一张牌置于你的牌库顶。"
42	"蜀国新兵"	7	10	0	1	1042	0	1	"当此牌从你的牌库顶被展示时，你可以将此牌从你的牌库顶以面朝上的方式置入你的资源区。"
43	"世之奇士·郭嘉"	1	0	13	1	0	0	0	"1黑黑黑：比拼限定：抓一张牌，并弃掉一张牌。若以此法弃掉了一张攻击牌，则此牌获得伏击X，X等同于被弃掉攻击牌的印制速度。"
44	"魏国参军"	0	0	14	1	0	0	0	"抓一张牌，并弃掉一张牌。若你以此法弃掉一张攻击牌，则此牌获得攻击力+X，X等同于被弃掉攻击牌的印制攻击力。"
45	"破虏将军·李典"	0	0	15	0	0	0	0	"抓一张牌，并弃掉一张牌。"
46	"算无遗策·贾诩"	1	0	16	0	2	0	1	"1黑：比拼限定：你可以弃掉一张牌，若你如此做，则此牌获得伏击5-6。"
47	"古之恶来·典韦"	3	8	0	0	2	0	0	"1黑：当此牌进入弃牌区时，对你的对手造成2点技能伤害。"
48	"魏国廷尉"	0	0	17	0	0	0	0	"你弃掉一张牌。"
49	"王佐之才·荀彧"	3	9	0	0	1049	0	0	"黑：当此牌进入弃牌区时，将此牌从弃牌区置入你的资源区。"
50	"大将军·曹仁"	0	0	18	0	0	0	0	"1黑：抓两张牌，并弃掉一张牌。"
51	"魏国斥候"	0	0	19	0	1051	7	0	"连击限定：若你的弃牌区中有另一张与此牌同名的攻击牌，则你可以立刻将其做为你的下一张连击牌打出。"
52	"魏国精骑"	0	0	20	0	0	0	1	"3黑：你可以弃掉一张牌。若你如此做，则此牌造成双倍战斗伤害。"
53	"魏国刀斧手"	0	1	0	6	0	0	0	"你的弃牌区中每有一张黑色牌，此牌便获得攻击力+1。"
54	"自震至彪·杨修"	1	0	21	0	0	0	1	"1黑：比拼限定：你可以弃掉一张牌。若你如此做，则本回合对手的比拼牌失去且不能具有伏击。"
55	"虎豹骑"	0	1	0	7	0	7	0	"2黑黑：连击限定：本回合你之前每弃掉过一张牌，此牌便获得攻击力+2。"
56	"疾行将军·夏侯渊"	0	0	22	0	0	7	1	"2黑：连击限定：你可以弃掉一张牌，若你如此做，则将以此法弃掉的牌从弃牌区面朝上置入你的资源区。"
57	"独眼将军·夏侯惇"	0	0	1	0	2	12	0	"黑：若本回合你之前弃掉过牌，则抓两张牌。"
58	"魏国禁卫军"	0	11	0	0	8	13	0	"连击限定：若此牌为本回合你打出的第五张攻击牌，则本回合你的下一张攻击牌获得攻击力+8。"
59	"乱世奸雄·曹操"	0	12	0	0	0	7	1	"黑黑黑黑：连击限定：你可以将你弃牌区中所有的牌移除，若你如此做，则每以此法移除一张牌，此牌便获得攻击力+2。"
60	"魏国戍卫"	0	3	0	0	0	14	0	"除非本回合你之前弃掉过牌，否则防止此牌将要造成的所有伤害。"
61	"魏国奸商"	0	0	23	0	0	0	1	"黑：你可以弃掉一张牌，若以此法弃掉一张物品牌，则对你的对手造成3点技能伤害。"
62	"魏国污吏"	3	0	24	0	0	0	0	"当此牌进入弃牌区时，你可以将一张物品牌从你的弃牌区置入你的手牌。"
63	"魏国攻城兵"	0	0	25	0	0	0	1	"2黑黑：你可以弃掉一张牌，若你如此做，则对手弃掉一张牌。"
64	"古之招虎·张辽"	1	13	0	0	3	0	0	"红红：伏击3-5\n比拼限定：本回合使你的对手获得胆怯状态。"
65	"西凉伏兵"	1	4	0	0	4	0	0	"红:伏击7-9"
66	"西凉补给兵"	0	14	0	0	1	0	0	"本回合你之后打出的所有攻击牌获得攻击力+1。"
67	"西凉布陷兵"	1	4	0	0	4	0	0	"2红：伏击7-9。"
68	"西凉铁骑"	0	15	0	0	0	0	0	"1红：本回合使你的对手获得胆怯状态。"
69	"泗水虎将·华雄"	1	13	0	0	4	0	0	"伏击7-9\n比拼限定：本回合使你的对手获得胆怯状态。"
70	"西凉斥候"	0	0	1	0	2	15	0	"若你的对手存在胆怯状态，则抓两张牌。"
71	"陷阵营"	0	1	0	0	3	15	0	"2红：若你的对手存在胆怯状态，则此牌获得攻击力+3。"
72	"智囊·李儒"	0	0	26	0	0	7	0	"红红：连击限定：选择一项执行：抓两张牌；或本回合你打出的下一张攻击牌获得攻击力+3；"
73	"飞熊军将领·李傕"	0	2	0	0	2	15	0	"2红：若你的对手存在胆怯状态，则此牌造成双倍战斗伤害。"
74	"西凉校尉"	0	11	0	0	1	7	0	"连击限定：本回合你打出的下一张攻击牌获得攻击力+1。"
75	"有谋而迟·陈宫"	0	7	0	0	2	15	0	"若你的对手存在胆怯状态，则你获得资源值+2。"
76	"陷阵营统领·高顺"	0	2	0	0	2	15	0	"若你的对手存在胆怯状态，则此牌造成双倍战斗伤害。"
77	"太师·董卓"	0	5	0	0	4	15	0	"1红红：若你的对手存在胆怯状态，本回合你可以将你手牌中任意一张牌视为8速牌打出。"
78	"乱世红颜·貂蝉"	0	11	0	0	4	16	0	"1红红：连击限定：本回合你打出的下一张攻击牌获得攻击力+4。"
79	"飞熊军"	0	2	0	0	2	15	0	"2红红：若你的对手存在胆怯状态，则此牌造成双倍战斗伤害。"
80	"天下无双·吕布"	0	2	0	0	4	15	0	"红红红：若你的对手存在胆怯状态，则此牌造成四倍战斗伤害。"
81	"飞熊军将领·郭汜"	0	1	0	0	3	15	0	"若你的对手存在胆怯状态，则此牌获得攻击力+3。"
82	"西凉轻骑兵"	0	1	0	0	1	15	0	"2红：若你的对手存在胆怯状态，则此牌获得攻击力+1。"
83	"西凉助阵队"	0	15	0	0	0	0	0	"1红：本回合使你的对手获得胆怯状态。"
84	"西凉弓箭校尉"	0	14	0	0	1	0	0	"3红：本回合你之后打出的所有攻击牌获得攻击力+1。"
85	"小霸王·孙策"	1	0	27	0	0	0	1	"绿：比拼限定：你可以支付X点生命,若你如此做，则本回合此牌获得速度+X。"
86	"镇抚山越·黄盖"	0	16	0	0	1	0	1	"你可以支付3点生命，若你如此做，则你获得资源值+1。"
87	"吴国水贼"	0	0	28	0	1	0	0	"将你资源区中一张可产绿色资源的牌移除，你获得资源值+2。"
88	"吴国轻骑兵"	1	17	0	0	4	17	0	"绿绿：比拼限定：若你的生命小于30点，则此牌获得速度+4。"
89	"吴国近卫队"	1	18	0	0	2	0	1	"比拼限定：你可以支付2点生命，若你如此做，则本回合此牌获得速度+2。"
90	"锦帆游侠·甘宁"	0	0	29	0	0	0	1	"绿：你可以支付3点生命，若你如此做，则你可以消灭一件对手的物品。"
91	"托孤内侍·张昭"	1	0	30	0	1	0	1	"比拼限定：你可以将你资源区中一张可产绿色资源的牌移除，若你如此做，则本回合对手的比拼牌失去且不能具有伏击。"
92	"吴国水军新兵"	0	19	0	0	2	0	1	"你可以支付3点生命，若你如此做，则此牌造成双倍战斗伤害。"
93	"吴国补给兵"	0	0	1	0	1	18	0	"若本回合你之前支付过生命，则抓一张牌。"
94	"浴血之躯·周泰"	1	22	0	0	5	0	0	"2绿绿：比拼限定：你的生命变为1，且防止本回合对手对你造成的所有战斗和技能伤害。"
95	"信义笃烈·太史慈"	1	5	0	0	6	0	0	"1绿：比拼限定：本回合对手的比拼牌失去且不能具有伏击。"
96	"吴国掌旗兵"	0	1	0	0	1	18	0	"若本回合你支付过生命，则此牌获得攻击力+1。"
97	"江东猛虎·孙坚"	1	0	31	0	0	0	1	"绿绿绿：比拼限定：你可以支付X点生命，若你如此做，则本回合此\n获得速度+X，且你每以此法支付1点生命，便获得资源值+1。"
98	"吴国治栗使"	0	7	0	0	1	19	0	"2绿：连击限定：若你的生命小于30点，则你获得资源值+1。"
99	"江东虎将·韩当"	0	1	0	8	0	18	0	"1绿绿：若本回合你之前支付过生命，则你每支付过1点生命，此牌便获得攻击力+1。"
100	"吴国太"	0	0	34	0	2	7	1	"2绿：连击限定：你可以将你资源区中两张可产绿色资源的牌移除，若你如此做，则消灭对手所有物品。"
101	"大都督·周瑜"	0	20	0	0	2	7	0	"绿绿绿绿：连击限定：将你资源区的所有可产绿色资源的牌移除，每以此法移除一张牌，此牌便获得攻击力+2。"
102	"吴国兵勇"	0	1	0	0	2	18	0	"若本回合你之前支付过生命，则此牌获得攻击力+2。"
103	"吴国宗正"	0	0	1	0	2	21	0	"绿绿：若你的生命小于25点，则抓两张牌。"
104	"吴国亲兵"	1	18	0	0	2	0	1	"2绿：比拼限定：你可以支付2点生命，若你如此做，则本回合此牌获得速度+2。"
105	"羽林军"	0	21	0	0	2	7	1	"连击限定：你可以支付3点生命，若你如此做，则此牌获得攻击力+2。"
106	"九节杖"	4	6	0	0	1	0	0	"白白：每个回合开始时，你获得1点生命。"
107	"雌雄双股剑"	4	0	1	0	1	9	0	"蓝蓝：每个回合开始时，若你的手牌大于或等于五张，则抓一张牌。"
108	"青釭剑"	4	0	32	0	0	0	1	"黑黑：每个回合开始时，你可以弃掉一张牌，若你如此做，则对你的对手造成1点技能伤害。"
109	"方天画戟"	4	15	0	0	0	0	0	"红红：每个回合开始时，本回合使你的对手获得胆怯状态。"
110	"吴王剑"	0	0	0	0	0	0	0	"绿：此牌为你额外增加一点绿色资源。"
111	"《太平要术》"	0	0	0	0	0	0	0	"3白白：每当你获得生命时，你额外获得2点生命。"
112	"汉室族谱"	0	0	0	0	0	0	0	"蓝：你的手牌没有上限。"
113	"讨贼檄文"	3	11	0	0	1	0	0	"2黑黑：每当你弃牌时，本回合你的下一张攻击牌获得攻击力+1。"
114	"传国玉玺"	0	1	0	0	1	0	0	"2红红：你的攻击牌获得攻击力+1。"
115	"江东图志"	8	0	1	0	1	18	0	"1绿绿：若本回合你支付过生命，则在回合结束时抓一张牌。"
116	"白虎印"	0	0	0	0	0	0	0	"3：防止对手每张黑色攻击牌造成的1点战斗伤害。"
117	"青龙印"	0	0	0	0	0	0	0	"3：防止对手每张红色攻击牌造成的1点战斗伤害。"
118	"玄武印"	0	0	0	0	0	0	0	"3：防止对手每张绿色攻击牌造成的1点战斗伤害。"
119	"朱雀印"	0	0	0	0	0	0	0	"3：防止对手每张白色攻击牌造成的1点战斗伤害。"
120	"麒麟印"	0	0	0	0	0	0	0	"3：防止对手每张蓝色攻击牌造成的1点战斗伤害。"
1000	"回合弃牌"	8	0	33	0	0	0	0	"回合结束弃牌"
